Date,Team,Acquired,Relinquised,Notes
2016-12-05,Pelicans,,E'Twaun Moore,sore toe (DTD)
2016-12-05,Pelicans,,Jrue Holiday,turf toe (DTD)
2016-12-05,Grizzlies,,Brandan Wright,left ankle injury (DTD)
2016-12-05,Nets,,Caris LeVert,sore foot (DTD)
2016-12-06,76ers,,Joel Embiid,rest (DTD)
2016-12-06,Celtics,,Isaiah Thomas,sore/strained groin (DTD)
2016-12-06,Heat,,Luke Babbitt,strained right hip flexor (DTD)
2016-12-06,Lakers,,Tarik Black,sprained right ankle (DTD)
2016-12-06,Mavericks,,Andrew Bogut,bone bruise in right knee (DTD)
2016-12-06,Spurs,,Emanuel Ginobili / Manu Ginobili,rest (DTD)
2016-12-07,Heat,,Rodney McGruder,sore ankle (DTD)
2016-12-07,Jazz,,Rodney Hood,strained/sore right hamstring (DTD)
2016-12-07,Lakers,Larry Nance Jr.,,returned to lineup
2016-12-07,Nets,Caris LeVert,,returned to lineup
2016-12-07,Nuggets,,Jamal Murray,bruised left quadricep (DTD)
2016-12-08,76ers,Joel Embiid,,returned to lineup
2016-12-08,76ers,Robert Covington,,returned to lineup
2016-12-08,Jazz,,Gordon Hayward,left finger injury (DTD)
2016-12-09,Kings,,Matt Barnes,rest (DTD)
2016-12-09,Mavericks,Seth Curry,,returned to lineup
2016-12-09,Raptors,,Bruno Caboclo,sore right knee (DTD)
2016-12-09,Raptors,,DeMarre Carroll,rest (DTD)
2016-12-10,76ers,,Joel Embiid,right elbow inflammation / rest (DTD)
2016-12-10,Blazers,,Al-Farouq Aminu,back injury (DTD)
2016-12-10,Clippers,,Blake Griffin,sore right knee (DTD)
2016-12-10,Heat,Josh Richardson,,returned to lineup
2016-12-10,Jazz,Gordon Hayward,,returned to lineup
2016-12-10,Kings,Matt Barnes,,returned to lineup
2016-12-10,Nets,,Justin Hamilton (b),migraine headache (DTD)
2016-12-10,Nuggets,,Wilson Chandler,right hip injury (DTD)
2016-12-10,Pelicans,,Anthony Davis,rest (DTD)
2016-12-10,Warriors,,Zaur Pachulia / Zaza Pachulia,bruised right wrist (DTD)
2016-12-11,76ers,,Sergio Rodriguez,flu/gastroenteritis (DTD)
2016-12-11,76ers,Jahlil Okafor,,returned to lineup
2016-12-11,Clippers,,Austin Rivers,concussion (DTD)
2016-12-11,Lakers,Nick Young,,returned to lineup
2016-12-11,Pelicans,E'Twaun Moore,,returned to lineup
2016-12-11,Pelicans,Jrue Holiday,,returned to lineup
2016-12-12,Blazers,Al-Farouq Aminu,,returned to lineup
2016-12-12,Clippers,Blake Griffin,,returned to lineup
2016-12-12,Heat,James Johnson,,returned to lineup
2016-12-12,Kings,,Matt Barnes,rest (DTD)
2016-12-12,Nuggets,,Darrell Arthur,sore knee (DTD)
2016-12-12,Nuggets,Wilson Chandler,,returned to lineup
2016-12-12,Raptors,DeMarre Carroll,,returned to lineup
2016-12-12,Suns,,Alex Len,bruised right hip (DTD)
2016-12-13,Grizzlies,,Marc Gasol,rest (DTD)
2016-12-13,Grizzlies,Vince Carter,,returned to lineup
2016-12-13,Thunder,,Victor Oladipo,sprained right wrist (DTD)
2016-12-14,76ers,,Nerlens Noel,sprained left ankle (DTD)
2016-12-14,76ers,Joel Embiid,,returned to lineup
2016-12-14,76ers,Sergio Rodriguez,,returned to lineup
2016-12-14,Bucks,,Michael Beasley,sprained left foot (DTD)
2016-12-14,Cavaliers,,Kevin Love,rest (DTD)
2016-12-14,Cavaliers,,LeBron James,rest (DTD)
2016-12-14,Clippers,,Luc Richard Mbah a Moute / Luc Mbah a Moute,sprained right shoulder (DTD)
2016-12-14,Clippers,Austin Rivers,,returned to lineup
2016-12-14,Grizzlies,,Deyonta Davis,plantar fasciitis in left foot (DTD)
2016-12-14,Grizzlies,Marc Gasol,,returned to lineup
2016-12-14,Heat,Justise Winslow,,returned to lineup
2016-12-14,Heat,Luke Babbitt,,returned to lineup
2016-12-14,Jazz,Rodney Hood,,returned to lineup
2016-12-14,Kings,,DeMarcus Cousins,rest (DTD)
2016-12-14,Kings,Matt Barnes,,returned to lineup
2016-12-14,Knicks,,Derrick Rose,back spasms (DTD)
2016-12-14,Pelicans,,Tim Frazier,sprained right wrist (DTD)
2016-12-14,Raptors,,Lucas Nogueira,sore right knee (DTD)
2016-12-14,Wizards,,Markieff Morris,sore left foot (DTD)
2016-12-15,76ers,,Jerryd Bayless,surgery on left wrist to repair torn ligament (out for season)
2016-12-15,Pacers,,Rodney Stuckey,sore/strained left hamstring (DTD)
2016-12-16,76ers,,Hollis Thompson,sore right knee (DTD)
2016-12-16,76ers,Nerlens Noel,,returned to lineup
2016-12-16,Cavaliers,,Chris Andersen,torn ACL in right knee (out for season)
2016-12-16,Heat,,Tyler Johnson,illness (DTD)
2016-12-16,Pelicans,,Solomon Hill,personal reasons (DTD)
2016-12-16,Raptors,Lucas Nogueira,,returned to lineup
2016-12-16,Wizards,Markieff Morris,,returned to lineup
2016-12-17,Cavaliers,Kevin Love,,returned to lineup
2016-12-17,Cavaliers,LeBron James,,returned to lineup
2016-12-17,Heat,,Wayne Ellington,strained right hamstring (DTD)
2016-12-17,Hornets,Kemba Walker,,returned to lineup
2016-12-17,Lakers,,Tarik Black,sore right ankle (DTD)
2016-12-17,Nuggets,Darrell Arthur,,returned to lineup
2016-12-18,76ers,,Nik Stauskas,sore left knee (DTD)
2016-12-18,76ers,Hollis Thompson,,returned to lineup
2016-12-18,Clippers,Luc Richard Mbah a Moute / Luc Mbah a Moute,,returned to lineup
2016-12-18,Grizzlies,James Ennis,,returned to lineup
2016-12-18,Heat,Tyler Johnson,,returned to lineup
2016-12-18,Pelicans,Dante Cunningham,,returned to lineup
2016-12-18,Raptors,,Cory Joseph,flu (DTD)
2016-12-18,Wizards,,Jason Smith,strained right hamstring (DTD)
2016-12-18,Wizards,,Kelly Oubre,concussion (DTD)
2016-12-19,Cavaliers,,Kevin Love,bruised left knee (DTD)
2016-12-19,Clippers,,Blake Griffin,arthroscopic surgery on right knee (out indefinitely) (date approximate)
2016-12-19,Heat,,Rodney McGruder,sprained left ankle (DTD)
2016-12-19,Rockets,,Clint Capela,fractured fibula in left leg (out indefinitely)
2016-12-19,Wizards,Jason Smith,,returned to lineup
2016-12-19,Wizards,Kelly Oubre,,returned to lineup
2016-12-20,76ers,Nik Stauskas,,returned to lineup
2016-12-20,Blazers,,Evan Turner,sprained left ankle (DTD)
2016-12-20,Jazz,,Derrick Favors,rehab of left knee (DTD)
2016-12-20,Kings,,Omri Casspi,illness (DTD)
2016-12-20,Nets,,Isaiah Whitehead,sore left foot (DTD)
2016-12-20,Raptors,Cory Joseph,,returned to lineup
2016-12-21,Cavaliers,,J.R. Smith,fractured right thumb (out indefinitely)
2016-12-21,Hawks,,Tim Hardaway Jr.,sore groin (DTD)
2016-12-21,Jazz,,Dante Exum,patellar tendinitis in left knee (DTD)
2016-12-21,Jazz,,Rodney Hood,flu (DTD)
2016-12-21,Lakers,,Larry Nance Jr.,bone bruise in left knee (DTD)
2016-12-22,Lakers,,Larry Nance Jr.,bone bruise in left knee (DTD)
2016-12-23,76ers,,Nik Stauskas,bruised right knee (DTD)
2016-12-23,76ers,,Richaun Holmes,concussion (DTD)
2016-12-23,Cavaliers,,J.R. Smith,surgery on right thumb to repair fracture (out indefinitely)
2016-12-23,Cavaliers,,J.R. Smith,recovering from surgery on right thumb to repair fracture (out indefinitely)
2016-12-23,Cavaliers,Kevin Love,,returned to lineup
2016-12-23,Clippers,,Chris Paul,strained left hamstring (DTD)
2016-12-23,Hawks,,Kyle Korver,illness (DTD)
2016-12-23,Jazz,Rodney Hood,,returned to lineup
2016-12-23,Kings,Omri Casspi,,returned to lineup
2016-12-23,Magic,Jodie Meeks,,returned to lineup
2016-12-23,Spurs,,(William) Tony Parker,rest (DTD)
2016-12-23,Bucks,,Michael Beasley,sprained left foot (DTD)
2016-12-23,Lakers,,Tarik Black,sprained right ankle (DTD)
2016-12-24,Hornets,,Marco Belinelli,sprained left ankle (DTD)
2016-12-25,Spurs,(William) Tony Parker,,returned to lineup
2016-12-26,76ers,Nik Stauskas,,returned to lineup
2016-12-26,Bucks,,Mirza Teletovic,concussion (DTD)
2016-12-26,Bucks,,Steve Novak,illness (DTD)
2016-12-26,Bucks,Michael Beasley,,returned to lineup
2016-12-26,Cavaliers,,LeBron James,rest (DTD)
2016-12-26,Clippers,,J.J. Redick,sore left hamstring (DTD)
2016-12-26,Hawks,Kyle Korver,,returned to lineup
2016-12-26,Pacers,Rodney Stuckey,,returned to lineup
2016-12-27,76ers,,Gerald Henderson (b),sore left hip (DTD)
2016-12-27,Grizzlies,,Chandler Parsons,rest (DTD)
2016-12-27,Grizzlies,,Mike Conley Jr.,left big toe injury (DTD)
2016-12-27,Heat,,Goran Dragic,back spasms (DTD)
2016-12-27,Heat,,Josh McRoberts,stress fracture in left foot (DTD)
2016-12-27,Heat,Rodney McGruder,,returned to lineup
2016-12-27,Heat,Wayne Ellington,,returned to lineup
2016-12-27,Knicks,,Courtney Lee,sore right wrist (DTD)
2016-12-27,Nets,,Jeremy Lin,strained left hamstring (DTD)
2016-12-27,Pacers,,Rodney Stuckey,sore left hamstring (DTD)
2016-12-27,Rockets,,Patrick Beverley,bruised left quadricep (DTD)
2016-12-28,Bucks,Steve Novak,,returned to lineup
2016-12-28,Clippers,Chris Paul,,returned to lineup
2016-12-28,Nets,,Joe Harris,hip pointer (DTD)
2016-12-28,Spurs,,Kawhi Leonard,gastroenteritis (DTD)
2016-12-28,Wizards,,Bradley Beal,right ankle injury (DTD)
2016-12-28,Wizards,,Daniel Ochefu,illness (DTD)
2016-12-29,76ers,,Joel Embiid,rest (DTD)
2016-12-29,Cavaliers,LeBron James,,returned to lineup
2016-12-29,Grizzlies,Chandler Parsons,,returned to lineup
2016-12-29,Heat,Goran Dragic,,returned to lineup
2016-12-29,Raptors,,Patrick Patterson,strained left knee (DTD)
2016-12-30,76ers,,Jahlil Okafor,tightness in left hamstring (DTD)
2016-12-30,76ers,,Sergio Rodriguez,sprained left ankle (DTD)
2016-12-30,Bucks,,Matthew Dellavedova / Matt Dellavedova,strained right hamstring (DTD)
2016-12-30,Bucks,Mirza Teletovic,,returned to lineup
2016-12-30,Celtics,,Avery Bradley,illness (DTD)
2016-12-30,Clippers,,Chris Paul,sore left hamstring (DTD)
2016-12-30,Clippers,J.J. Redick,,returned to lineup
2016-12-30,Heat,,Goran Dragic,back spasms (DTD)
2016-12-30,Pistons,,Marcus Morris,sore left knee (DTD)
2016-12-30,Rockets,Patrick Beverley,,returned to lineup
2016-12-30,Wizards,Daniel Ochefu,,returned to lineup
2016-12-30,Knicks,,Courtney Lee,sore right wrist (DTD)
2016-12-30,Knicks,,Maurice Ndour / Maurice N'dour,sprained right ankle (DTD)
2016-12-31,Bucks,,Miles Plumlee,sprained right index finger (DTD)
2016-12-31,Cavaliers,,Kyrie Irving,tightness in right hamstring (DTD)
2016-12-31,Cavaliers,,Mike Dunleavy Jr.,sprained right ankle (DTD)
2016-12-31,Grizzlies,Mike Conley Jr.,,returned to lineup
2016-12-31,Knicks,Maurice Ndour / Maurice N'dour,,returned to lineup
2016-12-31,Magic,,Damjan Rudez,strained right calf (DTD)
2016-12-31,Rockets,,Patrick Beverley,sore right wrist (DTD)
2017-01-01,Heat,,Hassan Whiteside,right eye injury (DTD)
2017-01-01,Heat,,Justise Winslow,torn labrum in right shoulder (out for season)
2017-01-01,Kings,,Ty Lawson,sinus fracture (DTD)
2017-01-01,Pistons,,Aron Baynes,sprained left ankle (DTD)
2017-01-01,Pistons,Marcus Morris,,returned to lineup
2017-01-01,Spurs,Kawhi Leonard,,returned to lineup
2017-01-02,Celtics,,Tyler Zeller,sinus ailment (DTD)
2017-01-02,Knicks,Courtney Lee,,returned to lineup
2017-01-02,Magic,Damjan Rudez,,returned to lineup
2017-01-02,Nets,Joe Harris,,returned to lineup
2017-01-02,Warriors,,JaVale McGee,illness (DTD)
2017-01-02,Wizards,Bradley Beal,,returned to lineup
2017-01-03,76ers,Jahlil Okafor,,returned to lineup
2017-01-03,Bulls,,Denzel Valentine,sore/sprained left ankle (DTD)
2017-01-03,Celtics,Avery Bradley,,returned to lineup
2017-01-03,Heat,,James Johnson,illness (DTD)
2017-01-03,Heat,,Tyler Johnson,migraine headache (DTD)
2017-01-03,Heat,Goran Dragic,,returned to lineup
2017-01-03,Pelicans,,Quincy Pondexter,arthroscopic surgery on left knee (out for season)
2017-01-03,Pistons,,Michael Gbinije,left forearm injury (DTD)
2017-01-03,Suns,,Brandon Knight,sprained right wrist / migraine headache (DTD)
2017-01-03,Kings,,Rudy Gay,strained right hip flexor (DTD)
2017-01-04,Bucks,Miles Plumlee,,returned to lineup
2017-01-04,Cavaliers,,Kevin Love,illness (DTD)
2017-01-04,Cavaliers,Mike Dunleavy Jr.,,returned to lineup
2017-01-04,Grizzlies,,JaMychal Green,fractured facial bone (DTD)
2017-01-04,Heat,James Johnson,,returned to lineup
2017-01-04,Heat,Tyler Johnson,,returned to lineup
2017-01-04,Kings,Ty Lawson,,returned to lineup
2017-01-04,Nets,,Rondae Hollis-Jefferson,right hip tendinitis (DTD)
2017-01-04,76ers,Richaun Holmes,,returned to lineup
2017-01-05,Heat,,Justise Winslow,surgery on right shoulder to repair torn labrum (out for season)
2017-01-05,Lakers,,Luol Deng,right biceps tendinitis (DTD)
2017-01-05,Rockets,Patrick Beverley,,returned to lineup
2017-01-05,Suns,Brandon Knight,,returned to lineup
2017-01-05,Nuggets,,Kenneth Faried,sore lower back (DTD)
2017-01-06,76ers,Gerald Henderson (b),,returned to lineup
2017-01-06,Bucks,,Miles Plumlee,finger injury (DTD)
2017-01-06,Cavaliers,Kevin Love,,returned to lineup
2017-01-06,Cavaliers,Kyrie Irving,,returned to lineup
2017-01-06,Celtics,,Jordan Mickey,illness (DTD)
2017-01-06,Clippers,Chris Paul,,returned to lineup
2017-01-06,Grizzlies,JaMychal Green,,returned to lineup
2017-01-06,Hornets,,Nicolas Batum,hyperextended/strained right knee (DTD)
2017-01-06,Kings,Rudy Gay,,returned to lineup
2017-01-06,Lakers,Luol Deng,,returned to lineup
2017-01-06,Nets,Rondae Hollis-Jefferson,,returned to lineup
2017-01-06,Nuggets,,Nikola Jokic,illness (DTD)
2017-01-07,Heat,,Josh Richardson,sprained left foot (DTD)
2017-01-07,Nuggets,,Gary Harris,sore groin (DTD)
2017-01-07,Spurs,,David Lee,bruised left knee (DTD)
2017-01-08,76ers,Sergio Rodriguez,,returned to lineup
2017-01-08,Bucks,,Giannis Antetokounmpo,illness (DTD)
2017-01-08,Bucks,Matthew Dellavedova / Matt Dellavedova,,returned to lineup
2017-01-08,Clippers,,Austin Rivers,illness (DTD)
2017-01-08,Heat,,Luke Babbitt,flu (DTD)
2017-01-08,Heat,Hassan Whiteside,,returned to lineup
2017-01-08,Pistons,Aron Baynes,,returned to lineup
2017-01-08,Pistons,Michael Gbinije,,returned to lineup
2017-01-08,Raptors,Patrick Patterson,,returned to lineup
2017-01-09,Hornets,,Cody Zeller,illness (DTD)
2017-01-09,Knicks,,Mindaugas Kuzminskas,illness (DTD)
2017-01-09,Nets,,Trevor Booker,bruised left hip (DTD)
2017-01-09,Rockets,,Eric Gordon,sore left big toe (DTD)
2017-01-10,Bucks,Giannis Antetokounmpo,,returned to lineup
2017-01-10,Bucks,Miles Plumlee,,returned to lineup
2017-01-10,Bulls,,Dwyane Wade,rest (DTD)
2017-01-10,Heat,Luke Babbitt,,returned to lineup
2017-01-10,Magic,,Serge Ibaka,sore right shoulder (DTD)
2017-01-10,Pistons,,Jon Leuer,sore right knee (DTD)
2017-01-10,Spurs,,LaMarcus Aldridge,gastroenteritis (DTD)
2017-01-10,Spurs,David Lee,,returned to lineup
2017-01-10,Timberwolves,,Zach LaVine,bruised left hip (DTD)
2017-01-10,Wizards,,Tomas Satoransky,illness (DTD)
2017-01-10,Hornets,,Nicolas Batum,hyperextended/strained right knee (DTD)
2017-01-11,Celtics,,Amir Johnson,sprained left ankle (DTD)
2017-01-11,Celtics,,Avery Bradley,strained Achilles (DTD)
2017-01-11,Celtics,,Jaylen Brown,sprained right ankle (DTD)
2017-01-11,Clippers,Austin Rivers,,returned to lineup
2017-01-11,Mavericks,,Andrew Bogut,strained right hamstring (DTD)
2017-01-12,Bulls,,Denzel Valentine,flu (DTD)
2017-01-12,Bulls,Dwyane Wade,,returned to lineup
2017-01-12,Hornets,,Jeremy Lamb,sore foot (DTD)
2017-01-12,Nuggets,Gary Harris,,returned to lineup
2017-01-12,Nuggets,Nikola Jokic,,returned to lineup
2017-01-12,Spurs,LaMarcus Aldridge,,returned to lineup
2017-01-13,Blazers,,Maurice Harkless / Moe Harkless,strained left calf (DTD)
2017-01-13,Celtics,Amir Johnson,,returned to lineup
2017-01-13,Celtics,Jaylen Brown,,returned to lineup
2017-01-13,Heat,,Willie Reed,bruised sternum (DTD)
2017-01-13,Hornets,Cody Zeller,,returned to lineup
2017-01-13,Hornets,Nicolas Batum,,returned to lineup
2017-01-13,Magic,Serge Ibaka,,returned to lineup
2017-01-13,Pistons,,Michael Gbinije,arm injury (DTD)
2017-01-13,Raptors,,Patrick Patterson,sore left knee (DTD)
2017-01-13,Spurs,,Dejounte Murray,sprained right ankle (DTD)
2017-01-14,Bulls,Denzel Valentine,,returned to lineup
2017-01-14,Magic,,Evan Fournier,sore right foot / heel (DTD)
2017-01-14,Spurs,,Patrick Mills / Patty Mills,tightness in left calf (DTD)
2017-01-14,Suns,,Brandon Knight,sprained right wrist (DTD)
2017-01-14,Wizards,Tomas Satoransky,,returned to lineup
2017-01-15,Bulls,,Dwyane Wade,rest (DTD)
2017-01-15,Hawks,,Mike Muscala,sore/sprained left ankle (DTD)
2017-01-15,Jazz,,Rodney Hood,bruised right knee (DTD)
2017-01-16,76ers,,Nerlens Noel,sprained left ankle (DTD)
2017-01-16,76ers,,T.J. McConnell,sprained right wrist (DTD)
2017-01-16,Blazers,Maurice Harkless / Moe Harkless,,returned to lineup
2017-01-16,Celtics,Avery Bradley,,returned to lineup
2017-01-16,Hawks,,Dwight Howard,rest (DTD)
2017-01-16,Knicks,,Lance Thomas,fractured orbital bone (out indefinitely)
2017-01-16,Nuggets,,Gary Harris,sprained right ankle (DTD)
2017-01-16,Suns,,Jared Dudley,dizziness (DTD)
2017-01-16,Suns,,Tyson Chandler,gastroenteritis (DTD)
2017-01-16,Thunder,,Steven Adams,concussion (DTD)
2017-01-17,Blazers,,Ed Davis (a),sprained left ankle (DTD)
2017-01-17,Bulls,Dwyane Wade,,returned to lineup
2017-01-17,Heat,Willie Reed,,returned to lineup
2017-01-17,Kings,,Omri Casspi,strained right calf (DTD)
2017-01-17,Rockets,,Ryan Anderson,flu (DTD)
2017-01-17,Spurs,Patrick Mills / Patty Mills,,returned to lineup
2017-01-17,Clippers,,Chris Paul,torn ligament in left thumb (DTD)
2017-01-17,Clippers,,Chris Paul,surgery on left thumb to repair torn ligament (out indefinitely)
2017-01-18,76ers,Nerlens Noel,,returned to lineup
2017-01-18,76ers,T.J. McConnell,,returned to lineup
2017-01-18,Celtics,,Avery Bradley,sore right Achilles (DTD)
2017-01-18,Kings,,Ty Lawson,sprained left ankle (DTD)
2017-01-18,Magic,,Jodie Meeks,dislocated right thumb (DTD)
2017-01-18,Warriors,,David West,fractured left thumb (DTD)
2017-01-18,Kings,,Rudy Gay,torn left Achilles tendon (out for season)
2017-01-18,Knicks,,Kristaps Porzingis,sore left Achilles (DTD)
2017-01-19,Cavaliers,,Kevin Love,sore lower back (DTD)
2017-01-19,Nuggets,,Danilo Gallinari,sprained right ankle (DTD)
2017-01-19,Spurs,,(William) Tony Parker,sore left foot (DTD)
2017-01-19,Spurs,,Pau Gasol,fractured left ring finger (DTD)
2017-01-19,Suns,Brandon Knight,,returned to lineup
2017-01-19,Suns,Jared Dudley,,returned to lineup
2017-01-19,Suns,Tyson Chandler,,returned to lineup
2017-01-19,Kings,,Rudy Gay,surgery to repair torn left Achilles tendon (out for season)
2017-01-20,76ers,,Joel Embiid,bruised left knee (DTD)
2017-01-20,Blazers,Ed Davis (a),,returned to lineup
2017-01-20,Grizzlies,,Chandler Parsons,rest (DTD)
2017-01-20,Kings,Ty Lawson,,returned to lineup
2017-01-20,Magic,,C.J. Wilcox,tendinitis in knee / left Achilles tendon (DTD)
2017-01-20,Mavericks,,Jose Juan Barea / Jose Barea / J.J. Barea,strained left calf (DTD)
2017-01-20,Rockets,Ryan Anderson,,returned to lineup
2017-01-20,Spurs,,Pau Gasol,surgery on left ring finger to repair fracture (out indefinitely)
2017-01-21,76ers,,Joel Embiid,rest (DTD)
2017-01-21,Blazers,,Ed Davis (a),sprained left ankle (DTD)
2017-01-21,Cavaliers,Kevin Love,,returned to lineup
2017-01-21,Celtics,,Demetrius Jackson,illness (DTD)
2017-01-21,Grizzlies,,Troy Daniels,sprained MCL in right knee (DTD)
2017-01-21,Grizzlies,Chandler Parsons,,returned to lineup
2017-01-21,Heat,,Tyler Johnson,sprained/strained left shoulder (DTD)
2017-01-21,Lakers,,D'Angelo Russell,strained left calf / sprained ligament in right knee (DTD)
2017-01-21,Nets,,Joe Harris,sprained left ankle (DTD)
2017-01-21,Nuggets,Danilo Gallinari,,returned to lineup
2017-01-21,Rockets,,Ryan Anderson,illness (DTD)
2017-01-21,Celtics,,Tyler Zeller,sinus infection (DTD)
2017-01-22,Mavericks,,Jose Juan Barea / Jose Barea / J.J. Barea,strained left calf (DTD)
2017-01-22,Raptors,,DeMar DeRozan,sprained right ankle (DTD)
2017-01-22,Spurs,,Emanuel Ginobili / Manu Ginobili,sore back / back spasms (DTD)
2017-01-22,Suns,,Dragan Bender,sore right ankle (DTD)
2017-01-22,Timberwolves,,Ricky Rubio,sore hip (DTD)
2017-01-23,Celtics,,Gerald Green (b),illness (DTD)
2017-01-23,Hornets,,Brian Roberts,illness (DTD)
2017-01-23,Mavericks,,Wesley Matthews / Wes Matthews Jr.,strained right hip (DTD)
2017-01-23,Rockets,Ryan Anderson,,returned to lineup
2017-01-23,Spurs,,Kawhi Leonard,sore left hand (DTD)
2017-01-23,Thunder,Steven Adams,,returned to lineup
2017-01-24,76ers,,Jahlil Okafor,sore right knee (DTD)
2017-01-24,Magic,,D.J. Augustine,sprained right ankle (DTD)
2017-01-24,Magic,,Jodie Meeks,surgery on dislocated right thumb (out indefinitely)
2017-01-24,Raptors,Patrick Patterson,,returned to lineup
2017-01-24,Spurs,,Jonathon Simmons,sprained right wrist (DTD)
2017-01-24,Spurs,Emanuel Ginobili / Manu Ginobili,,returned to lineup
2017-01-24,76ers,Joel Embiid,,returned to lineup
2017-01-24,76ers,,Joel Embiid,bruised left knee (DTD)
2017-01-25,Blazers,,Ed Davis (a),sprained wrist / left ankle injury (DTD)
2017-01-25,Blazers,,Maurice Harkless / Moe Harkless,strained left calf (DTD)
2017-01-25,Blazers,,Tim Quarterman,sprained left ankle (DTD)
2017-01-25,Grizzlies,,Chandler Parsons,sore left knee (DTD)
2017-01-25,Grizzlies,,JaMychal Green,sore left knee (DTD)
2017-01-25,Hornets,Brian Roberts,,returned to lineup
2017-01-25,Mavericks,,Deron Williams,sprained left big toe (DTD)
2017-01-25,Rockets,,Eric Gordon,sore lower back / back spasms (DTD)
2017-01-26,Lakers,,Julius Randle,illness (DTD)
2017-01-26,Mavericks,,Dirk Nowitzki,rest (DTD)
2017-01-26,Thunder,,Enes Kanter,fractured right arm / hand (out indefinitely)
2017-01-27,76ers,Joel Embiid,,returned to lineup
2017-01-27,Cavaliers,Richard Jefferson,,returned to lineup
2017-01-27,Celtics,,Al Horford,groin injury (DTD)
2017-01-27,Grizzlies,Chandler Parsons,,returned to lineup
2017-01-27,Grizzlies,JaMychal Green,,returned to lineup
2017-01-27,Heat,,Hassan Whiteside,ankle injury (DTD)
2017-01-27,Magic,,C.J. Wilcox,left ankle / Achilles tendinitis (DTD)
2017-01-27,Magic,,Evan Fournier,sore right foot (DTD)
2017-01-27,Magic,D.J. Augustine,,returned to lineup
2017-01-27,Nets,,Brook Lopez,rest (DTD)
2017-01-27,Nets,,Caris LeVert,rest (DTD)
2017-01-27,Nets,,Trevor Booker,illness (DTD)
2017-01-27,Nuggets,,Nikola Jokic,strained left hip flexor (DTD)
2017-01-27,Spurs,Kawhi Leonard,,returned to lineup
2017-01-27,Thunder,,Enes Kanter,surgery on right arm / hand to repair fracture (out indefinitely)
2017-01-27,Celtics,Demetrius Jackson,,returned to lineup
2017-01-28,Grizzlies,,Deyonta Davis,left foot injury (DTD)
2017-01-28,Grizzlies,Troy Daniels,,returned to lineup
2017-01-28,Hawks,,Thabo Sefolosha,groin injury (DTD)
2017-01-28,Heat,Hassan Whiteside,,returned to lineup
2017-01-28,Hornets,,Jeremy Lamb,metatarsal inflammation (DTD)
2017-01-28,Knicks,,Derrick Rose,sprained left ankle (DTD)
2017-01-28,Nets,Brook Lopez,,returned to lineup
2017-01-28,Nets,Caris LeVert,,returned to lineup
2017-01-28,Nets,Trevor Booker,,returned to lineup
2017-01-29,76ers,,Joel Embiid,rest (DTD)
2017-01-29,Blazers,Maurice Harkless / Moe Harkless,,returned to lineup
2017-01-29,Magic,,C.J. Wilcox,left Achilles tendinitis (DTD)
2017-01-29,Mavericks,Dirk Nowitzki,,returned to lineup
2017-01-29,Mavericks,Wesley Matthews / Wes Matthews Jr.,,returned to lineup
2017-01-29,Rockets,Eric Gordon,,returned to lineup
2017-01-29,Blazers,Tim Quarterman,,returned to lineup
2017-01-29,Blazers,,Ed Davis (a),left wrist injury
2017-01-30,76ers,,Joel Embiid,bruised left knee (out for season)
2017-01-30,76ers,Jahlil Okafor,,returned to lineup
2017-01-30,Cavaliers,,Kevin Love,lower back spasms (DTD)
2017-01-30,Heat,Tyler Johnson,,returned to lineup
2017-01-30,Lakers,,Julius Randle,pneumonia (DTD)
2017-01-30,Magic,Evan Fournier,,returned to lineup
2017-01-30,Mavericks,,Andrew Bogut,strained right hamstring (DTD)
2017-01-31,Hornets,Jeremy Lamb,,returned to lineup
2017-01-31,Knicks,,Kristaps Porzingis,illness (DTD)
2017-01-31,Nuggets,,Will Barton,sore left ankle (DTD)
2017-01-31,Pelicans,,Tyreke Evans,left ankle injury (DTD)
2017-01-31,Spurs,Jonathon Simmons,,returned to lineup
2017-02-01,76ers,,Robert Covington,bruised right hand/wrist (DTD)
2017-02-01,Celtics,,Kelly Olynyk,sore/strained left shoulder (DTD)
2017-02-01,Jazz,,Rodney Hood,hyperextended right knee (DTD)
2017-02-01,Knicks,Kristaps Porzingis,,returned to lineup
2017-02-01,Pelicans,Tyreke Evans,,returned to lineup
2017-02-01,Warriors,,Shaun Livingston,strained back (DTD)
2017-02-01,Warriors,,Zaur Pachulia / Zaza Pachulia,strained right rotator cuff (DTD)
2017-02-02,76ers,,Joel Embiid,rest (DTD)
2017-02-02,76ers,,Nerlens Noel,upper respiratory infection (DTD)
2017-02-02,Kings,,Garrett Temple,torn left hamstring (DTD)
2017-02-02,Nuggets,,Danilo Gallinari,strained groin (DTD)
2017-02-02,Pacers,,Rodney Stuckey,sprained right ankle (DTD)
2017-02-02,Warriors,,Draymond Green,bruised left shoulder (DTD)
2017-02-03,Blazers,Ed Davis (a),,returned to lineup
2017-02-03,Bulls,,Jimmy Butler,bruised right heel (DTD)
2017-02-03,Celtics,Kelly Olynyk,,returned to lineup
2017-02-03,Hornets,,Ramon Sessions,torn lateral meniscus in left knee (out indefinitely)
2017-02-03,Kings,,Arron Afflalo,illness (DTD)
2017-02-03,Lakers,,Julius Randle,illness (DTD)
2017-02-03,Mavericks,,Devin Harris,illness (DTD)
2017-02-03,Rockets,,Nene / Nene Hilario / Maybyner Hilario,sore groin (DTD)
